rank,Name,RA_deg,Dec_deg,GLON_deg,GLAT_deg,dist_pc,dist_mod_mag,N_stars,r50_pc,r50_deg,area_sqdeg,logAge_yr,AV_mag,pmRA_masyr,pmDec_masyr,parallax_mas
1,HSC_381,271.385757,17.770899,44.159678,17.92,311.1,7.4643,288,16.698,3.07251,29.6577,7.487,0.211,-1.0359,-8.11,3.1609
2,HSC_1314,74.421885,35.931116,168.498313,-4.335,336.0,7.6316,116,17.636,3.00471,28.3632,8.07,1.178,3.3964,-10.6409,2.8555
3,HSC_2986,285.31711,-36.883402,359.953885,-17.71,145.9,5.82,222,7.616,2.98837,28.0556,6.853,0.168,2.2086,-27.5565,6.6938
4,Platais_8,136.894836,-59.308819,277.651362,-7.924,131.9,5.6016,225,6.848,2.97154,27.7404,7.494,0.178,-16.2379,13.7426,7.4267
5,Theia_229,90.252555,-27.850414,233.732397,-22.63,298.7,7.376,185,15.057,2.88606,26.1673,8.116,0.056,-6.2622,-0.2976,3.1775
6,OCSN_92,231.555157,-36.062061,334.842842,17.04,135.8,5.6644,103,6.804,2.86818,25.8442,6.966,0.262,-20.4981,-24.5759,7.2456
7,Theia_807,87.068144,-18.714051,223.377483,-22.07,324.4,7.5552,104,14.7,2.59472,21.1511,8.047,0.091,-7.1693,1.2821,3.017
8,HSC_2636,204.888686,-44.482232,311.903979,17.55,131.1,5.5877,284,5.89,2.57283,20.7956,6.993,0.303,-25.9719,-19.4116,7.472
9,HSC_633,307.375362,42.393644,80.682937,1.988,451.7,8.2741,156,20.101,2.54817,20.3988,7.759,0.089,3.3861,-0.1945,2.1586
10,HSC_1553,93.012745,13.981877,196.019592,-2.15,217.8,6.6905,330,9.561,2.51327,19.844,7.585,0.045,5.6298,-16.33,4.6205
11,Mamajek_4,276.370976,-50.637344,344.094821,-16.78,428.7,8.1608,655,18.672,2.49392,19.5396,8.494,0.198,3.6594,-21.6695,2.2188
12,HSC_1058,22.926173,43.725791,130.588539,-18.55,486.2,8.4339,144,21.17,2.49335,19.5307,8.069,0.125,4.4935,-4.924,1.9522
13,Melotte_111,186.017199,26.422675,217.970165,83.85,87.4,4.7077,271,3.739,2.44935,18.8473,8.816,0.071,-12.1546,-8.8553,11.7093
14,HSC_1030,25.589061,64.613463,128.35699,2.279,719.4,9.2848,163,30.121,2.39754,18.0585,8.187,1.554,2.2276,-5.5679,1.3037
15,COIN-Gaia_13,83.391593,41.827987,167.760313,4.765,484.8,8.4279,572,20.291,2.39655,18.0436,8.217,0.227,-3.9501,-1.5878,1.948
16,OCSN_10,276.089386,15.689698,44.110442,12.96,357.7,7.7676,121,14.662,2.34714,17.3072,7.737,0.379,-1.5856,-7.2913,2.6929
17,CWNU_1044,129.930407,-51.859045,269.345003,-6.228,359.0,7.7753,377,14.552,2.32149,16.931,7.535,0.149,-11.6403,9.7614,2.7062
18,Delta_Cephei_Cluster,336.423863,57.15725,104.141492,-0.2991,243.0,6.9283,164,9.798,2.30862,16.7438,7.828,0.072,16.5064,4.6672,4.1135
19,HSC_2442,165.238974,-70.579779,293.935839,-9.663,280.3,7.238,118,11.249,2.29831,16.5946,7.417,0.381,-21.8387,-1.3577,3.5198
20,HSC_1743,106.265037,-7.858291,221.473219,-0.5714,712.6,9.2643,193,28.583,2.29686,16.5737,8.112,0.175,-3.2738,2.3727,1.33
21,Mamajek_2,264.359954,-8.015697,17.039041,12.48,207.1,6.5813,226,8.268,2.28573,16.4134,7.994,0.746,-10.0689,-19.4998,4.8789
22,CWNU_1142,75.526546,2.836667,197.007225,-22.68,285.5,7.2778,111,11.338,2.27453,16.2529,7.923,0.107,-0.2416,-5.6573,3.4452
23,Theia_714,21.847166,56.128049,127.958249,-6.392,568.8,8.7748,108,22.359,2.25115,15.9206,8.002,0.319,4.2691,-3.7917,1.6811
24,Theia_282,92.711208,11.975088,197.641572,-3.37,775.1,9.4467,233,30.281,2.2373,15.7252,7.955,0.304,-1.7904,-1.8489,1.2405
25,Theia_232,16.861294,50.35142,125.545555,-12.44,317.1,7.5062,152,12.137,2.1918,15.0921,7.649,0.189,15.3553,-7.1077,3.0665
26,Theia_247,300.273519,10.214125,50.21195,-10.44,442.4,8.229,190,16.627,2.15239,14.5543,7.928,0.182,-1.5318,-11.941,2.1448
27,Alessi_145,120.953587,3.985088,217.719827,17.9,608.2,8.9202,143,22.017,2.0733,13.5044,8.225,0.078,-7.6642,-1.2262,1.5597
28,Theia_1203,281.015103,-57.177993,338.56223,-21.57,389.8,7.9544,136,13.909,2.04337,13.1173,8.445,0.19,5.6398,-24.9045,2.443
29,CWNU_2136,80.396373,23.944955,181.290371,-7.222,1272.4,10.5232,120,44.402,1.99853,12.5479,8.52,1.415,0.7318,-5.5668,0.7355
30,HSC_2865,266.361715,-44.045989,347.006304,-7.779,663.9,9.1104,141,23.097,1.99261,12.4737,8.171,0.22,-2.0039,-4.1071,1.3927
31,CWNU_1032,300.919434,31.84783,69.068081,0.3573,360.3,7.7831,231,12.487,1.98512,12.3801,7.966,0.109,3.7529,-1.2331,2.6656
32,NGC_2202,94.206605,5.984516,203.631493,-4.912,798.3,9.5108,101,27.305,1.959,12.0564,8.06,0.256,-0.9092,-3.7781,1.1622
33,UPK_545,130.974572,-58.784318,275.281669,-9.939,328.7,7.5843,597,11.162,1.94458,11.8796,8.007,0.086,-8.4174,2.5306,2.9532
34,CWNU_1024,104.285512,-27.391791,238.23008,-10.96,394.4,7.9797,336,13.336,1.93655,11.7817,7.511,0.173,-5.5454,6.0176,2.4955
35,Theia_713,7.540837,68.411784,120.968003,5.621,452.9,8.2798,117,15.249,1.92866,11.6858,8.515,0.885,-6.1182,-4.741,2.1119
36,HSC_895,353.161651,56.674281,112.226161,-4.551,656.9,9.0875,110,21.967,1.91525,11.5239,8.23,0.819,5.2932,-1.3103,1.4667
37,Theia_1918,129.195028,-48.117167,266.058447,-4.353,400.9,8.0152,169,13.358,1.90842,11.4419,7.382,0.227,-10.6356,1.9998,2.4402
38,Theia_792,99.018404,19.613478,193.719748,5.561,214.8,6.6601,119,7.123,1.89922,11.3319,8.291,0.078,3.0526,-11.1745,4.7369
39,Theia_401,347.80923,47.7812,106.035922,-11.78,648.6,9.0599,194,21.188,1.87105,10.9982,8.193,0.3,-0.781,-3.5213,1.4729
40,Alessi_84,110.510066,55.384482,161.823346,26.27,201.6,6.5221,128,6.572,1.86742,10.9555,8.068,0.067,-3.1196,-31.4468,5.0374
41,CWNU_1007,79.207768,18.477745,185.260376,-11.19,350.4,7.7227,105,11.337,1.85315,10.7888,7.286,0.583,-0.2674,-5.6411,2.7736
42,HSC_1666,104.751929,3.31728,210.838842,3.195,599.6,8.8893,110,19.059,1.82059,10.4129,8.396,0.087,-1.6682,-1.1442,1.6042
43,HSC_2215,141.918052,-49.82982,272.870049,0.7629,510.3,8.539,148,16.026,1.79889,10.1662,7.76,0.101,-11.7694,4.3428,1.9088
44,HSC_2408,169.508208,-59.085805,291.177441,1.638,259.6,7.0719,115,7.882,1.73876,9.4979,8.106,0.139,-22.5208,6.732,3.6459
45,Platais_9,138.320686,-43.55757,266.680908,3.438,187.9,6.3695,251,5.66,1.72534,9.3519,7.566,0.093,-24.5592,13.3009,5.4479
46,UPK_612,255.098534,-68.523562,322.609454,-15.82,226.8,6.7784,228,6.781,1.71246,9.2127,8.078,0.101,-13.327,-12.2082,4.3789
47,UPK_230,354.485551,71.896282,117.226527,9.843,523.5,8.5948,197,15.349,1.67926,8.8591,8.089,0.934,4.7676,-1.0521,1.8349
48,HSC_2733,228.064671,-44.529138,327.725179,11.46,141.8,5.7578,165,4.145,1.67483,8.8123,6.978,0.137,-20.6666,-21.8923,6.8489
49,OCSN_96,240.429655,-22.709214,350.273818,22.2,136.7,5.679,223,3.986,1.67001,8.7617,6.671,0.396,-11.5407,-23.8876,7.0649
50,Theia_953,139.660336,-58.604985,278.113636,-6.402,542.7,8.6728,147,15.5,1.63596,8.4081,7.551,0.531,-5.6921,3.1321,1.7935
51,UPK_526,115.946397,-52.835537,265.603417,-13.98,543.2,8.6747,173,15.415,1.62559,8.3018,7.466,0.457,-7.7743,7.8039,1.7499
52,CWNU_519,313.931751,56.754539,94.666606,7.442,319.4,7.5216,287,9.056,1.62402,8.2858,7.354,0.132,5.0119,3.4896,3.072
53,Theia_139,82.510358,-2.110382,205.291919,-19.03,316.7,7.5034,105,8.969,1.62211,8.2662,7.978,0.176,-2.9015,-4.2705,3.0539
54,Theia_1966,248.327253,-52.63956,332.978411,-3.226,1136.4,10.2777,199,32.1,1.61796,8.224,7.974,0.926,-0.5208,-0.8254,0.8308
55,Turner_5,143.138632,-36.429244,264.214214,11.08,399.8,8.0094,116,11.29,1.61737,8.218,8.214,0.171,0.067,-3.0194,2.4023
56,OCSN_82,108.531357,-35.060592,246.870118,-10.95,405.7,8.0412,157,11.407,1.61037,8.1471,7.372,0.16,-5.4402,6.4569,2.4216
57,UBC_11,246.732465,-59.704536,327.19279,-7.413,434.2,8.1883,155,12.146,1.60247,8.0674,8.106,0.211,-0.4763,-6.7866,2.1616
58,Theia_862,37.400472,56.745563,136.123361,-3.591,679.7,9.1616,175,18.918,1.59427,7.9849,8.412,1.079,0.2275,-3.7082,1.3946
59,CWNU_522,75.678003,8.081014,192.315215,-19.78,372.9,7.858,173,10.343,1.58871,7.9294,7.554,0.175,0.8832,-4.4839,2.5748
60,Theia_446,18.552391,62.756527,125.534594,-9e-05,371.2,7.848,135,10.249,1.58164,7.859,7.905,0.549,7.7313,-3.6979,2.6004
61,Theia_711,282.09396,-7.743776,25.686943,-2.846,410.2,8.0648,105,11.253,1.57161,7.7596,7.792,0.855,1.0652,-11.3825,2.3055
62,LISC-III_3668,120.111868,-44.189204,259.261329,-7.387,564.7,8.7589,356,15.395,1.56171,7.6622,7.458,0.165,-6.2509,7.3345,1.7024
63,Theia_248,324.695766,53.668939,96.734781,0.8967,459.3,8.3104,153,12.496,1.55845,7.6302,8.048,0.612,8.8365,6.2902,2.0768
64,Platais_10,205.278957,-59.15646,309.271793,3.102,239.4,6.8957,197,6.456,1.54481,7.4972,8.095,0.28,-29.3119,-10.7877,4.1339
65,Theia_323,194.202847,-55.76297,303.693523,7.101,469.3,8.3574,105,12.561,1.533,7.383,8.107,0.218,-13.9052,-3.07,2.011
66,Theia_72,101.702357,-9.785555,221.144025,-5.463,281.4,7.2464,140,7.378,1.50211,7.0885,7.436,0.162,-0.9888,-4.2969,3.4549
67,Theia_643,255.562476,-48.923916,338.774843,-4.333,545.2,8.6826,136,14.258,1.49818,7.0514,8.201,0.841,1.1816,-5.0299,1.7092
68,CWNU_1173,179.921845,-70.286088,298.559517,-7.855,424.7,8.1404,165,10.676,1.44004,6.5148,8.001,0.503,-13.0314,-0.6217,2.2436
69,Theia_5,315.432053,68.152598,104.059941,14.18,329.4,7.5889,155,8.28,1.43969,6.5116,6.936,0.807,7.9063,-1.1315,2.912
70,UPK_569,170.379961,-72.113961,296.073831,-10.45,246.6,6.9603,145,6.183,1.43596,6.4779,7.434,0.619,-25.4242,-1.0492,4.0269
71,HSC_1403,75.693166,24.300515,178.494,-10.53,464.6,8.3356,105,11.588,1.42868,6.4124,7.466,1.491,1.2313,-5.204,2.022
72,OCSN_76,99.638088,-16.764762,226.582834,-10.34,447.4,8.2533,119,11.084,1.41924,6.328,7.568,0.18,-4.2953,5.0166,2.1618
73,CWNU_1069,119.314645,-43.510747,258.376717,-7.533,393.5,7.975,140,9.701,1.41202,6.2637,7.213,0.138,-9.303,8.9468,2.4793
74,UPK_72,284.98783,27.292717,58.408649,10.35,438.3,8.2091,176,10.795,1.41074,6.2524,7.873,0.377,-0.4614,-4.5544,2.2086
75,CWNU_77,45.330868,71.078425,133.141632,10.83,805.2,9.5296,108,19.707,1.40195,6.1747,7.851,0.885,-1.1991,-0.0045,1.1742
76,Theia_625,289.447065,-13.774997,23.452058,-11.99,496.0,8.4776,104,12.139,1.40189,6.1742,8.22,0.316,5.84,0.2812,1.9002
77,Melotte_20,51.331938,49.118659,147.119876,-6.389,172.6,6.1849,938,4.211,1.39786,6.1387,7.745,0.242,22.9182,-25.4626,5.7409
78,UBC_32,279.321757,-14.003027,18.865318,-3.271,275.2,7.1985,393,6.538,1.36085,5.8179,7.886,1.026,-1.8081,-9.2289,3.4984
79,Theia_391,356.219398,55.169532,113.457742,-6.473,430.5,8.1697,112,10.088,1.34246,5.6618,8.165,0.411,5.1976,-4.4563,2.2064
80,CWNU_232,92.346339,-2.994191,210.797319,-10.72,472.2,8.3704,138,11.056,1.34134,5.6523,8.113,0.225,0.1082,-2.9958,2.0294
81,HSC_2505,185.021,-64.096672,299.515233,-1.433,104.6,5.0973,119,2.432,1.33219,5.5755,6.844,0.213,-37.7886,-10.811,9.3523
82,Theia_35,107.597315,-19.414267,232.351044,-4.717,397.7,7.9978,156,9.244,1.33146,5.5694,7.478,0.14,-8.0616,3.7016,2.377
83,CWNU_1074,295.903272,6.412617,44.699218,-8.551,708.2,9.2508,217,16.337,1.32146,5.486,7.561,0.635,0.355,-2.0365,1.3384
84,Theia_38,291.745192,21.116555,55.674245,2.065,486.8,8.4367,1108,11.199,1.31792,5.4567,6.762,0.772,1.1809,-6.1011,1.9807
85,Aveni-Hunter_1,354.262581,48.490096,110.425797,-12.57,411.8,8.0733,197,9.465,1.31682,5.4475,7.056,0.467,0.038,-2.7408,2.3612
86,HSC_2280,148.779758,-56.261361,280.195983,-1.381,538.7,8.6568,113,12.237,1.30125,5.3195,8.144,0.256,-18.5908,11.2288,1.764
87,HSC_2907,244.77266,-24.450059,351.860078,18.12,151.7,5.9047,349,3.402,1.28487,5.1864,6.99,0.551,-10.6786,-21.702,6.3614
88,UPK_214,357.175511,53.511289,113.584296,-8.218,776.7,9.4513,184,17.271,1.27381,5.0975,8.003,0.546,0.8285,-0.8227,1.2079
89,OC_0185,332.741358,63.395938,106.067865,5.907,901.5,9.7748,356,19.857,1.26182,5.002,6.809,1.119,-1.301,-2.4861,1.0768
90,HSC_601,305.074306,38.460707,76.458143,1.153,582.3,8.8258,120,12.641,1.24353,4.8581,7.887,0.22,2.0949,-1.5598,1.6589
91,Theia_817,274.950451,24.606258,52.127692,17.53,350.4,7.7228,120,7.587,1.24032,4.833,8.291,0.252,-2.0179,1.299,2.7574
92,CWNU_1020,135.00604,-54.509951,273.337788,-5.529,432.2,8.1785,171,9.337,1.23754,4.8114,7.534,0.158,-10.5877,7.6075,2.2443
93,Theia_58,120.216335,-30.749836,247.818587,-0.2845,480.1,8.4067,288,10.357,1.23573,4.7973,7.373,0.151,-8.8162,5.5197,2.0381
94,Platais_3,68.405613,71.489361,138.720539,15.82,177.0,6.2403,204,3.781,1.22338,4.7019,8.243,0.101,3.7671,-20.6812,5.6224
95,HSC_1284,72.943042,40.854682,163.931066,-2.146,1072.5,10.152,105,22.661,1.2104,4.6027,8.68,0.806,1.6353,-5.7705,0.87
96,UBC_4,60.658199,35.561155,161.096983,-12.78,569.8,8.7786,117,12.029,1.20939,4.595,8.315,0.741,-0.7169,-5.7278,1.669
97,NGC_6882,302.897211,26.750744,65.705974,-3.845,460.3,8.3153,114,9.635,1.19908,4.5169,7.918,0.31,1.7191,-9.2149,2.0891
98,UPK_560,158.35991,-44.503258,278.563936,11.74,577.0,8.8059,162,11.925,1.18394,4.4036,8.431,0.111,-12.4088,4.031,1.6707
99,UPK_627,245.369919,-53.132734,331.384249,-2.282,500.6,8.4975,106,10.343,1.18358,4.401,8.177,0.299,-2.4896,-10.1671,1.8845
100,Melotte_22,56.679783,24.108454,166.524955,-23.57,131.2,5.5903,1721,2.696,1.17701,4.3522,8.085,0.102,19.9552,-45.4567,7.3783
101,OC_0279,58.547047,31.923037,162.271092,-16.65,277.5,7.2162,146,5.684,1.17343,4.3258,7.23,0.664,6.3001,-9.7973,3.527
102,OCSN_40,358.857837,56.484493,115.218179,-5.546,398.0,7.9993,169,8.122,1.16908,4.2938,6.971,0.271,7.9219,-3.1256,2.4635
103,BH_23,123.447754,-36.356223,253.990677,-1.047,422.3,8.1281,300,8.517,1.15541,4.194,6.974,0.112,-7.183,7.3168,2.2956
104,Theia_3397,113.940262,-25.526587,240.513823,-2.415,1049.5,10.1048,207,21.152,1.15468,4.1886,7.781,0.089,-4.8873,4.0113,0.9295
105,Alessi_3,109.186703,-46.680282,257.935532,-15.33,268.2,7.1419,186,5.379,1.14918,4.1488,8.796,0.108,-9.7933,11.9159,3.5748
106,ZHBJZ_1,103.946607,-5.791223,218.581987,-1.674,285.5,7.2781,490,5.676,1.13887,4.0747,7.13,0.18,-7.318,-2.4448,3.4908
107,IC_2602,160.973083,-64.393236,289.686591,-4.853,148.4,5.857,638,2.948,1.1383,4.0706,7.415,0.114,-17.775,10.6692,6.6003
108,Theia_172,110.276901,4.081529,212.6638,8.457,450.9,8.2706,322,8.822,1.12075,3.9461,8.085,0.091,-6.4593,-5.0357,2.1126
109,Theia_181,234.545862,-64.856952,319.490803,-7.492,528.1,8.6134,190,10.225,1.10928,3.8658,8.051,0.23,-4.0072,-5.276,1.7892
110,Alessi-Teutsch_9,51.862769,34.886477,155.776909,-17.85,629.7,8.9957,200,12.193,1.10923,3.8654,7.891,0.702,-1.853,-1.3587,1.5073
111,Theia_6999,89.656672,20.20594,189.01831,-1.906,1736.9,11.1988,107,32.832,1.08293,3.6843,7.438,1.433,0.95,-2.5422,0.5301
112,UPK_540,115.516421,-58.66152,270.932378,-16.74,363.3,7.8015,124,6.821,1.07549,3.6338,7.302,0.249,-4.8409,7.6892,2.7178
113,UBC_26,285.426348,22.113399,53.860492,7.743,576.6,8.8045,479,10.719,1.06495,3.5629,7.401,0.871,1.968,-5.2638,1.6701
114,UPK_422,87.963841,-7.390082,212.826261,-16.59,290.8,7.3176,240,5.4,1.06404,3.5568,7.172,0.276,0.1711,-0.6089,3.3668
115,Platais_12,207.91946,-63.453825,309.602228,-1.365,428.4,8.1593,290,7.912,1.05802,3.5167,8.168,0.233,-8.3096,-5.4091,2.219
116,OCSN_89,186.450119,-65.883465,300.313713,-3.142,398.6,8.0027,161,7.241,1.0407,3.4025,7.572,0.727,-13.751,-2.6849,2.4097
117,Alessi_34,120.062337,-50.655175,264.881789,-10.71,471.8,8.3686,857,8.546,1.03779,3.3835,7.315,0.555,-5.0097,5.7432,2.0451
118,UPK_442,97.852235,-12.557329,221.969013,-10.08,613.2,8.9378,121,11.103,1.0374,3.381,7.833,0.221,-2.551,-1.3398,1.5386
119,Theia_100,346.887604,46.067943,104.754384,-13.1,463.0,8.3277,125,8.261,1.02227,3.2831,7.194,0.332,-0.8257,-3.1428,2.0655
120,LISC_3534,12.087711,49.905611,122.421879,-12.96,439.0,8.2121,430,7.793,1.01712,3.2501,8.172,0.145,7.3681,-3.0816,2.1887
121,ASCC_127,347.302131,65.182909,112.468264,4.409,365.7,7.8154,247,6.468,1.01333,3.2259,7.085,0.294,7.4097,-1.6454,2.6554
122,UPK_524,105.182696,-55.242457,265.408151,-20.74,523.7,8.5954,102,9.228,1.00947,3.2013,8.072,0.17,-2.7838,8.6466,1.7903
123,NGC_2632,130.088104,19.665873,205.915832,32.47,184.2,6.3263,1314,3.244,1.00909,3.1989,8.539,0.159,-35.9435,-12.903,5.4041
124,OCSN_28,324.419027,50.891094,94.762156,-1.066,429.6,8.1655,116,7.438,0.99184,3.0905,7.257,0.236,3.8807,-2.1211,2.2803
125,CWNU_45,108.099378,-27.983833,240.257118,-8.174,591.8,8.861,225,10.244,0.99164,3.0893,7.52,0.128,-3.1389,6.2754,1.6128
126,Collinder_69,83.814176,9.888055,195.107686,-11.99,383.4,7.918,1247,6.628,0.99043,3.0817,6.719,0.416,1.2149,-2.0466,2.5039
127,UPK_640,249.69239,-39.507143,343.339617,4.909,174.5,6.2091,764,3.006,0.98688,3.0597,6.983,0.244,-11.8825,-21.3905,5.706
128,ASCC_99,282.171819,-18.384065,16.165475,-7.682,291.8,7.3253,193,5.013,0.98437,3.0442,7.95,0.691,5.2475,-1.3071,3.281
129,Roslund_6,307.593307,40.355905,79.129447,0.659,338.1,7.6451,452,5.794,0.98181,3.0283,8.225,0.07,5.9498,2.1304,2.8313
130,ASCC_90,264.761967,-34.817364,354.265534,-1.913,551.1,8.7063,184,9.418,0.97903,3.0112,8.612,0.684,-1.5286,-2.6551,1.7064
131,CWNU_1053,162.41937,-56.607556,286.726628,2.384,508.0,8.5295,142,8.675,0.97827,3.0065,8.18,0.15,-17.2134,6.2187,1.8755
132,Theia_517,322.830507,48.349132,92.287138,-2.249,291.3,7.3218,511,4.919,0.96742,2.9402,8.102,0.065,-7.4004,-19.704,3.3658
133,Collinder_132,108.346159,-30.970532,243.062534,-9.305,630.8,8.9995,106,10.612,0.96376,2.918,7.142,0.123,-4.1255,3.7273,1.5251
134,UPK_579,193.30152,-50.832421,303.217391,12.04,683.2,9.1726,131,11.46,0.961,2.9013,8.226,0.144,-10.5768,-3.2994,1.3669
135,UPK_167,336.661606,49.515769,100.214246,-6.862,523.4,8.5941,198,8.765,0.9594,2.8917,8.093,0.228,1.5399,-0.1376,1.7963
136,Theia_314,314.635528,16.419438,63.513536,-18.7,352.1,7.7334,101,5.864,0.95403,2.8594,8.019,0.157,5.4654,-4.5647,2.7156
137,RSG_4,287.695654,56.522777,87.183648,19.81,317.7,7.5101,280,5.253,0.94717,2.8184,8.048,0.062,-2.4887,3.7339,3.0858
138,UPK_5,273.210189,-18.326098,12.298409,-0.1009,531.2,8.6262,156,8.693,0.93757,2.7616,7.917,0.632,0.6823,-8.4474,1.7645
139,HSC_888,349.61391,60.69589,111.794011,-0.1493,968.9,9.9314,243,15.703,0.92855,2.7087,8.295,1.312,-3.2054,-4.4218,0.977
140,NGC_2451A,115.970672,-38.240755,252.50072,-7.104,194.3,6.4426,407,3.146,0.92755,2.7029,7.416,0.044,-20.9872,15.3272,5.1957
141,Theia_189,97.786696,5.431453,205.782568,-2.016,874.9,9.7097,104,14.154,0.9269,2.6991,8.402,0.211,-1.5863,-3.4083,1.079
142,CWNU_1084,302.546793,33.489951,71.18967,0.0893,313.7,7.4828,156,5.059,0.92392,2.6817,8.024,0.091,5.0481,-0.3881,3.1039
143,Theia_470,301.878878,35.457784,72.543562,1.62,648.8,9.0607,249,10.445,0.9223,2.6723,8.255,0.315,1.0511,-1.7831,1.4668
144,UPK_537,125.64578,-51.569262,267.551338,-8.219,581.4,8.8222,125,9.351,0.92154,2.668,7.789,0.699,-6.4919,7.7164,1.6371
145,Alessi_96,75.485171,37.487544,167.795309,-2.705,315.3,7.4939,339,5.055,0.91837,2.6496,8.316,0.362,0.9712,-12.5614,3.0534
146,UPK_535,126.56812,-50.083356,266.647037,-6.898,315.0,7.4912,100,5.028,0.91463,2.6281,7.343,0.135,-13.0247,3.3454,3.1497
147,Alessi_37,341.970691,46.290171,101.713719,-11.43,693.5,9.2051,396,11.017,0.91023,2.6028,8.096,0.411,0.3348,-1.6432,1.3838
148,Alessi_9,265.642387,-46.744008,344.400106,-8.718,209.6,6.6072,310,3.26,0.89101,2.4941,8.614,0.116,9.8309,-9.1509,4.7783
149,NGC_1901,79.288369,-68.440914,279.051038,-33.7,399.6,8.008,231,6.125,0.87822,2.423,8.451,0.124,1.7031,12.701,2.3666
150,COIN-Gaia_9,47.714294,48.029669,145.670339,-8.591,846.7,9.6387,193,12.936,0.87528,2.4068,8.175,0.926,-2.0355,-3.0726,1.1134
151,Theia_850,26.424314,66.867569,128.235639,4.556,590.8,8.857,121,9.017,0.87447,2.4024,7.574,1.739,-5.5765,-0.3833,1.6069
152,Theia_546,110.171896,-4.380257,220.18354,4.481,497.4,8.4835,102,7.581,0.87326,2.3957,8.466,0.095,-2.136,-3.7115,1.91
