rank,Name,RA_deg,Dec_deg,GLON_deg,GLAT_deg,dist_pc,dist_mod_mag,N_stars,r50_pc,r50_deg,area_sqdeg,logAge_yr,AV_mag,pmRA_masyr,pmDec_masyr,parallax_mas,rc_deg,rt_deg,all_names
207,Stock_10,84.741597,37.808367,171.720881,3.49,341.8,7.6689,320,3.768,0.63153,1.253,8.129,0.286,-3.1503,-0.4284,2.7944,0.594852,2.278708,"Stock_10,Theia_609"
208,UPK_467,121.289697,-11.324744,231.701012,10.74,561.3,8.7459,179,6.159,0.62873,1.2419,8.117,0.101,-6.9321,-1.566,1.6902,1.006807,1.692398,"Theia_395,UPK_467"
209,HSC_1262,57.64357,35.074871,159.531126,-14.77,374.9,7.8693,143,4.113,0.62867,1.2416,6.704,0.439,3.3748,-4.3794,2.5633,1.393856,1.525891,HSC_1262
210,Theia_3581,112.257946,-14.159741,229.792223,1.683,1064.7,10.1362,135,11.661,0.62746,1.2369,7.782,0.469,-3.3614,1.0649,0.8946,1.125217,1.125217,"CWNU_1112,Theia_3581"
211,UPK_21,282.920318,-15.174112,19.388062,-6.908,563.6,8.755,103,6.08,0.61801,1.1999,8.669,1.429,7.7968,0.6942,1.6785,0.325236,3.823310,"Theia_1234,UPK_21"
212,CWNU_144,332.29413,50.896795,98.648504,-4.162,1229.5,10.4487,107,13.215,0.61578,1.1912,8.246,0.596,1.9841,-0.4369,0.7731,0.776873,1.897884,CWNU_144
213,Casado-Alessi_1,13.354523,49.548113,123.261996,-13.32,664.9,9.1138,159,7.132,0.6145,1.1863,8.874,0.206,6.4703,-6.4022,1.4102,0.639009,2.036757,"Alessi_1,CA_1,Casado-Alessi_1,Casado_Alessi_1,LeDrew_1,MWSC_88,Theia_1254"
214,Trumpler_10,131.936731,-42.533801,262.838072,0.5994,421.0,8.1216,1425,4.456,0.60636,1.1551,7.565,0.084,-12.3798,6.5707,2.2954,1.378266,1.378266,Trumpler_10
215,Theia_836,289.303301,18.419745,52.210983,2.827,534.6,8.6402,110,5.611,0.60135,1.1361,8.017,1.344,0.4686,-8.3216,1.8071,1.318151,1.318151,Theia_836
216,Theia_3127,144.752597,-54.070705,277.026249,-1.175,1513.4,10.8998,172,15.872,0.60088,1.1343,8.477,0.496,-8.2357,5.7619,0.6228,0.756919,1.889804,"Theia_2145,Theia_2310,Theia_2765,Theia_3127,Theia_3439,Theia_4547,Theia_4603"
217,ASCC_113,317.962596,38.545305,82.824506,-6.669,538.1,8.6544,491,5.605,0.59676,1.1188,8.265,0.108,0.8278,-3.6864,1.771,0.502694,2.343756,"ASCC_113,MWSC_3480,Theia_461"
218,Teutsch_38,131.744831,-37.853761,259.097299,3.419,634.0,9.0105,182,6.601,0.59655,1.118,7.299,0.182,-8.4794,3.6575,1.4955,0.675157,1.959505,"ASCC_49,MWSC_1569,Teutsch_38"
219,HSC_2824,255.206161,-46.682177,340.405219,-2.773,1149.2,10.3019,157,11.873,0.59193,1.1007,7.356,3.173,1.3997,-3.854,0.8231,1.068879,1.068879,HSC_2824
220,Collinder_350,267.064963,1.417618,26.875818,14.68,351.0,7.7262,283,3.623,0.59138,1.0987,8.393,1.213,-4.8691,-0.0662,2.6855,0.642330,1.908804,"Collinder_350,MWSC_2700,OCL_75,Theia_919"
221,CWNU_182,135.848619,-43.869642,265.701374,1.91,899.6,9.7704,102,9.255,0.58941,1.0914,8.024,1.434,-8.9738,5.7187,1.0635,0.727361,1.835067,"CWNU_182,Theia_1081,Theia_3374"
222,UPK_104,307.67519,31.922836,72.342312,-4.354,804.9,9.5287,104,8.218,0.58498,1.075,8.157,0.363,3.7674,1.5783,1.1773,1.082764,1.082764,UPK_104
223,Theia_1082,193.651707,-58.959889,303.341372,3.909,803.9,9.5261,110,8.189,0.58361,1.07,8.2,0.36,-9.8829,-3.3995,1.1787,0.506408,2.256682,Theia_1082
224,Alessi_36,106.565126,-37.595939,248.544082,-13.45,278.2,7.2218,198,2.824,0.58153,1.0624,7.461,0.143,-9.6693,7.0461,3.5982,0.632004,2.044063,"Alessi_36,FoF_2385,LP_2385,UBC_7"
225,Blanco_1,0.914984,-30.010616,14.75758,-79.13,236.6,6.8703,841,2.391,0.57886,1.0527,8.239,0.057,18.7245,2.5926,4.2318,0.736806,1.841029,"Blanco_1,ESO_409-9,MWSC_7,OCL_43,zeta_Scl"
226,CWNU_1138,206.911889,-59.633036,309.989276,2.466,475.9,8.3875,104,4.792,0.57697,1.0458,7.916,0.472,-13.8661,-6.1562,2.0118,0.661845,1.803822,"CWNU_1138,HIP_67014_Group,MWSC_2150,Platais_10,Theia_737"
227,UBC_17a,84.775775,-1.932441,206.241355,-16.95,348.8,7.7131,102,3.506,0.57592,1.042,6.665,0.236,1.8006,-1.2985,2.7709,0.692889,1.799032,"Theia_13,UBC_17a"
228,CWNU_275,266.370119,-40.815694,349.807379,-6.135,1153.5,10.31,140,11.508,0.57161,1.0265,7.566,0.689,2.6743,-2.2198,0.8178,0.761953,1.727574,"CWNU_275,Theia_1889,Theia_5705"
229,NGC_225,10.980729,61.79331,122.043898,-1.065,658.5,9.0928,246,6.566,0.57128,1.0253,7.97,0.765,-5.361,-0.2427,1.4368,0.213475,5.109298,"Collinder_7,MWSC_68,NGC_225,OCL_305,Theia_747"
230,Collinder_140,110.802402,-32.01159,244.953262,-7.899,373.5,7.8616,203,3.724,0.57123,1.0251,7.237,0.095,-8.0882,4.7565,2.5906,0.597340,2.001270,Collinder_140
231,Chamaleon_I,167.116999,-77.499459,297.326163,-15.76,191.4,6.41,192,1.897,0.56769,1.0124,6.753,2.158,-22.5554,0.4376,5.261,0.459766,2.526518,"Chamaleon_I,OC_0579,Theia_2"
232,ASCC_51,140.396727,-69.855294,286.587737,-13.97,529.4,8.619,172,5.207,0.56351,0.9976,8.1,0.073,-7.613,7.9636,1.8183,0.246415,4.263680,"ASCC_51,MWSC_1647,Theia_185,Theia_245,Theia_966,UBC_260"
233,Stock_1,293.984536,25.188323,60.237378,2.216,384.3,7.9232,290,3.771,0.56224,0.9931,8.412,0.338,6.0606,0.2184,2.4591,0.672289,1.697619,"OCL_127,Stock_1,Theia_821"
234,NGC_1662,72.113998,10.90376,187.724788,-21.13,389.0,7.9499,384,3.773,0.55563,0.9699,8.538,0.928,-1.1538,-1.9664,2.4386,0.460092,2.196747,"Collinder_55,MWSC_425,NGC_1662,OCL_470,Theia_1018"
235,UPK_166,339.202543,47.007967,100.374349,-9.882,640.7,9.0334,385,6.14,0.54904,0.947,7.213,0.183,-0.9373,-3.3023,1.5214,0.482659,2.161683,UPK_166
236,Theia_6166,329.28439,50.178717,96.681376,-3.594,1717.5,11.1745,147,16.296,0.54361,0.9284,8.532,0.533,-1.4663,-1.3438,0.5506,0.969972,1.473043,"Theia_2503,Theia_3978,Theia_6166"
237,Gulliver_9,127.203874,-47.924907,265.113815,-5.314,485.6,8.4316,444,4.567,0.53885,0.9122,7.006,0.208,-5.9314,6.9349,2.0001,0.423616,2.339855,"Gulliver_9,Theia_82"
238,Teutsch_35,294.084209,35.708285,69.532603,7.208,476.2,8.3887,337,4.476,0.53861,0.9114,8.1,0.138,-0.6296,-2.4773,2.0001,0.330427,2.859759,"ASCC_103,Teutsch_35,Teutsch_J1935.9+3540,Theia_457"
239,Theia_283,108.94287,-18.579694,232.194104,-3.204,987.7,9.973,116,9.233,0.53561,0.9012,8.269,0.206,-3.3676,3.9933,0.9484,1.100754,1.100754,"CWNU_8,Theia_283"
240,Theia_2267,111.033485,-26.461977,240.091484,-5.158,1170.8,10.3424,341,10.934,0.53509,0.8995,7.635,0.147,-4.2283,3.917,0.8068,0.573065,1.885178,Theia_2267
241,UPK_82,298.463626,26.201951,63.134515,-0.7715,525.4,8.6024,142,4.866,0.53068,0.8847,7.892,0.177,2.2782,-2.1691,1.8219,1.233827,1.233827,"FoF_2417,LP_2417,UPK_82"
242,NGC_2232,96.977545,-4.771701,214.519122,-7.401,316.2,7.4997,286,2.914,0.52805,0.876,7.123,0.135,-4.7168,-1.7699,3.1196,0.299784,3.172622,"Collinder_93,Escorial_8,MWSC_871,NGC_2232,OCL_545"
243,OCSN_61,84.083651,-0.402166,204.489898,-16.84,372.5,7.8555,147,3.429,0.52739,0.8738,7.069,0.19,-1.0447,-0.6303,2.5903,0.768338,1.510337,"Collinder_70,OCSN_61"
244,OC_0589,196.224849,-61.707047,304.526639,1.123,1826.2,11.3078,126,16.783,0.52653,0.871,7.324,2.034,-4.9466,-1.5726,0.5197,1.086500,1.086500,"CWNU_467,OC_0589"
245,HSC_2097,119.266412,-46.951872,261.361468,-9.301,1512.6,10.8986,121,13.814,0.52323,0.8601,7.936,0.404,-3.7421,4.9316,0.631,0.909078,0.909078,HSC_2097
246,Theia_420,318.86344,43.781656,87.114802,-3.567,862.4,9.6785,151,7.854,0.52178,0.8553,7.63,0.939,-2.9941,-3.8836,1.102,0.912301,1.378836,Theia_420
247,Stock_12,353.870064,52.623489,111.409868,-8.541,417.1,8.1013,273,3.797,0.52162,0.8548,8.095,0.212,8.5707,-1.9174,2.2874,0.231861,3.841637,"MWSC_3743,OCL_258,Stock_12,Theia_451"
248,IC_4665,266.532445,5.634743,30.522701,17.08,336.3,7.6337,308,3.059,0.52121,0.8535,7.515,0.559,-0.8809,-8.5324,2.8669,0.337689,2.663572,"Collinder_349,IC_4665,MWSC_2689,Melotte_179,OCL_85,Theia_76"
249,ASCC_58,153.705592,-55.020312,281.70493,1.263,466.5,8.3444,236,4.237,0.52037,0.8507,7.756,0.128,-13.302,2.7601,2.0963,0.534868,1.834771,"ASCC_58,MWSC_1782,Theia_453"
250,Stock_23,49.183968,60.071444,140.134211,2.145,580.9,8.8205,106,5.24,0.51686,0.8393,7.856,0.691,-4.3239,-0.9933,1.6273,0.690001,1.509249,"OC_0260,Stock_23"
251,LP_2383,95.380103,-16.096699,224.195891,-13.75,363.9,7.8047,422,3.217,0.50658,0.8062,7.578,0.152,-5.3698,5.0486,2.6921,0.369265,2.396634,"FoF_2383,LP_2383"
252,Alessi_21,107.591812,-9.318304,223.373273,-0.07887,548.4,8.6955,279,4.804,0.50187,0.7913,7.9,0.154,-5.5007,2.6534,1.7444,0.322562,2.576755,Alessi_21
253,FSR_1197,103.59061,-13.747576,225.5346,-5.585,810.3,9.5433,140,7.091,0.50141,0.7898,8.164,0.141,-3.0461,-0.7091,1.1508,0.648507,1.506169,"FSR_1197,MWSC_1015"
254,COIN-Gaia_8,39.164956,50.010076,139.710535,-9.402,691.3,9.1982,193,5.995,0.49691,0.7757,8.246,0.388,2.3655,-2.527,1.3789,0.495222,1.745706,"COIN-Gaia_8,Theia_346"
255,UPK_56,289.34702,17.649286,51.54756,2.432,738.7,9.3425,113,6.394,0.49591,0.7726,7.799,1.692,-0.1251,-6.7315,1.2655,0.946363,0.946363,"Theia_268,UPK_56"
256,Theia_5431,128.430534,-34.572265,254.859311,3.3,1643.2,11.0784,126,14.218,0.49574,0.7721,8.451,0.477,-4.5482,3.2815,0.5689,0.374635,2.306294,"Theia_4103,Theia_5431,Theia_5465,Theia_5548,Theia_7354,Theia_8137"
257,Stephenson_1,283.578345,36.880664,66.893228,15.35,350.8,7.7255,322,3.022,0.49349,0.7651,7.425,0.174,1.1209,-3.0178,2.7979,0.581355,1.590208,"MWSC_3018,OCL_137,Stephenson_1,delta_Lyr"
258,ASCC_105,295.471602,27.386094,62.808335,2.132,535.3,8.643,173,4.604,0.4928,0.7629,7.97,0.296,1.3698,-1.618,1.7759,0.291151,2.690755,"ASCC_105,MWSC_3157,Theia_165,Theia_544"
259,Teutsch_179,276.624401,26.408094,54.474163,16.82,336.8,7.637,112,2.867,0.48762,0.747,7.489,0.206,0.5374,-5.3401,2.897,0.512213,1.683515,"LISC-III_3755,Teutsch_179,UBC_9"
260,NGC_6633,276.805479,6.5592,36.054116,8.357,371.0,7.8471,515,3.143,0.48537,0.7401,8.674,0.387,1.2041,-1.8037,2.5404,0.420307,1.819855,"Collinder_380,MWSC_2917,Melotte_201,NGC_6633,OCL_90,Theia_924"
261,Theia_4165,328.585919,46.965351,94.319731,-5.83,1430.8,10.7779,126,12.11,0.48492,0.7387,8.783,0.449,1.2446,-2.3683,0.6696,0.696066,1.420060,"HXHWL_1,Theia_4165"
262,Theia_1740,49.312237,60.525986,139.947811,2.565,1002.2,10.0047,139,8.464,0.48389,0.7356,7.54,1.863,0.3116,0.6192,0.9371,0.997805,1.202434,"CWNU_1130,Theia_1740"
263,Theia_1742,133.114746,-47.933053,267.540645,-2.181,1595.4,11.0143,232,13.466,0.48359,0.7347,8.099,1.319,-6.8271,5.1537,0.5945,0.773747,1.358047,"Theia_1742,Theia_2717"
264,OC_0684,256.772703,-35.804069,349.762893,2.903,1045.7,10.097,382,8.8,0.48216,0.7303,6.754,1.683,1.2528,-2.272,0.8971,0.658526,1.419309,"ASCC_88,Gulliver_29,OC_0684,Theia_1690"
265,OC_0367,89.451015,-14.114306,219.851216,-18.14,638.1,9.0244,135,5.364,0.48163,0.7287,6.82,0.472,-1.8675,1.5201,1.4884,1.038334,1.038334,"CWNU_18,OC_0367"
266,Teutsch_312,315.436871,29.651452,74.68394,-11.0,834.3,9.6066,116,6.942,0.47675,0.714,7.46,0.188,0.9937,-4.7446,1.1574,0.589827,1.500480,"Teutsch_312,Teutsch_J2101.7+2938,Theia_276,UPK_108"
267,Theia_12,282.101656,-2.381873,30.466627,-0.4119,609.6,8.9254,142,5.06,0.47556,0.7105,6.725,3.191,0.1387,-6.1785,1.5688,0.582842,1.490023,"CWNU_1245,Theia_12"
268,ASCC_21,82.21204,3.606585,199.88285,-16.53,332.9,7.6117,116,2.747,0.47268,0.7019,6.839,0.138,1.5324,-0.5763,2.9024,0.429017,1.787170,ASCC_21
269,Alessi-Teutsch_12,255.411455,-59.007641,330.610798,-10.35,577.2,8.8068,104,4.761,0.47252,0.7015,8.021,0.203,-2.3127,-8.9852,1.6436,0.389719,1.899081,"ASCC_86,AT_12,Alessi-Teutsch_12,Alessi_J1701.7-5857,Alessi_Teutsch_12,MWSC_2513,Theia_257"
270,BH_164,222.323853,-66.392493,314.359669,-6.172,408.2,8.0544,819,3.319,0.46579,0.6816,7.268,0.203,-7.4367,-10.6961,2.3749,0.340353,2.170501,"Alessi_7,BH_164,MWSC_2255,vdBergh-Hagen_164"
271,Alessi_2,71.557048,55.184071,152.327184,6.336,586.4,8.8409,249,4.725,0.46166,0.6696,8.421,0.572,-0.9279,-1.0945,1.6178,0.500150,1.520611,"Alessi_2,LeDrew_4,MWSC_419"
272,COIN-Gaia_11,68.14971,39.533245,162.518355,-5.774,624.3,8.9768,226,5.03,0.46168,0.6696,8.53,1.768,3.4367,-5.7478,1.5173,0.340014,2.058387,"COIN-Gaia_11,Theia_963"
273,NGC_2516,119.521499,-60.792905,273.853358,-15.87,393.4,7.974,3784,3.167,0.46122,0.6683,8.098,0.205,-4.6336,11.2257,2.4272,0.368569,1.896110,"Collinder_172,ESO_124-6,FSR_1487,MWSC_1393,Melotte_82,NGC_2516,OCL_776,Theia_613"
274,Alessi_116,310.244371,20.069651,63.996627,-13.18,875.9,9.7123,198,7.018,0.45907,0.6621,9.039,0.133,-6.2674,-9.2316,1.0667,0.713897,1.249214,"Alessi_116,Theia_1177,UBC_131,UPK_84"
275,OC_0588,195.997798,-60.096008,304.497728,2.738,628.2,8.9903,409,4.991,0.45521,0.651,8.366,0.639,-12.0706,-3.8541,1.497,0.279160,2.368202,"CWNU_1122,OC_0588"
276,Theia_759,112.324561,-18.859546,233.949946,-0.5098,694.7,9.2091,149,5.512,0.45457,0.6492,8.387,0.161,-5.2884,0.2726,1.3534,0.679882,1.260578,Theia_759
277,Roslund_5,302.617466,33.740655,71.431841,0.1769,522.8,8.5916,360,4.086,0.44782,0.63,8.042,0.245,2.0522,-1.2363,1.8418,0.246479,2.643132,Roslund_5
278,Theia_743,173.480256,-60.656705,293.572873,0.7987,615.3,8.9453,105,4.809,0.44782,0.63,8.501,0.133,-14.4443,2.6491,1.5234,0.345125,1.852000,"OC_0565,Theia_621,Theia_743"
279,IC_4756,279.627468,5.437089,36.313937,5.345,445.7,8.2451,718,3.463,0.44523,0.6228,8.923,0.36,1.2843,-4.9682,2.1075,0.417877,1.576162,"Collinder_386,Graff_1,IC_4756,LISC-III_3449,MWSC_2967,Melotte_210,OCL_94,Theia_1115"
280,Alessi_10,301.232293,-10.528747,31.622904,-21.05,424.7,8.1404,194,3.291,0.44399,0.6193,8.027,0.338,1.4536,-7.9018,2.2186,0.262729,2.450613,"Alessi_10,LeDrew_3,Theia_535"
281,Roslund_7,313.212849,37.920237,79.882184,-4.276,1216.5,10.4256,266,9.352,0.44044,0.6094,8.243,0.94,1.7067,-0.4056,0.7756,0.608866,1.288272,"MWSC_3416,OCL_187,Roslund_7,Theia_2375"
282,UPK_445,92.353724,-15.039355,221.946481,-15.96,661.3,9.102,123,5.014,0.4344,0.5928,6.866,0.617,-2.5381,1.4354,1.4764,0.375470,1.779594,"Theia_83,UBC_446,UPK_445"
283,CWNU_1083,126.135502,-41.018274,259.024771,-1.943,338.3,7.6462,100,2.559,0.43346,0.5903,6.885,0.57,-7.1375,10.1091,2.93,0.728817,1.193092,CWNU_1083
284,CWNU_136,311.219095,56.900369,93.844762,8.692,876.6,9.7141,107,6.61,0.43203,0.5864,6.967,1.399,-2.3581,-4.9699,1.0905,0.817771,0.817771,"CWNU_136,CWNU_521"
285,UPK_436,100.328053,-7.998486,218.927071,-5.876,802.6,9.5226,127,6.04,0.43117,0.584,7.164,0.207,-4.1307,0.6493,1.1829,0.580591,1.283178,UPK_436
286,Theia_1798,85.498286,30.226428,178.487906,0.005105,1711.3,11.1666,119,12.815,0.42904,0.5783,7.731,2.082,0.4376,-2.4494,0.5346,0.826274,0.826274,"CWNU_126,Theia_1798"
287,HSC_478,298.537712,21.017861,58.719498,-3.495,1115.4,10.2371,105,8.348,0.4288,0.5776,7.505,0.873,-0.4989,-4.5187,0.847,0.752857,0.752857,HSC_478
288,NGC_752,29.160066,37.792718,136.90704,-23.3,406.3,8.044,442,3.014,0.42513,0.5678,9.152,0.066,9.7718,-11.824,2.2693,0.347659,1.619728,"Collinder_23,MWSC_151,Melotte_12,NGC_752,OCL_363"
289,Theia_1797,99.071159,9.832588,202.462907,1.142,1074.3,10.1556,134,7.945,0.42375,0.5641,7.443,1.137,-1.5823,-0.93,0.8658,0.342038,1.772787,Theia_1797
290,UBC_159,338.997116,39.635328,96.396183,-16.16,480.4,8.4081,232,3.548,0.42309,0.5624,6.682,0.425,-2.0178,-4.676,2.0184,0.504200,1.348064,"ASCC_122,MWSC_3637,Theia_18,UBC_159"
291,Pozzo_1,122.374635,-47.353671,262.814057,-7.7,346.2,7.6963,365,2.551,0.42223,0.5601,6.971,0.355,-6.3639,9.4367,2.8467,0.445120,1.483663,"Pozzo_1,Theia_22,Theia_99"
292,Alessi_24,260.978436,-62.817558,328.927502,-14.72,466.4,8.3437,371,3.412,0.41914,0.5519,7.999,0.159,-0.43,-8.9625,2.0421,0.318323,1.843189,"ASCC_89,Alessi_24,LISC-III_3249,MWSC_2582,OC_0638"
293,UPK_12,288.872565,-22.077794,15.450056,-14.94,626.2,8.9836,109,4.577,0.41879,0.551,8.279,0.247,0.6037,-6.6941,1.5002,0.178225,3.196520,"Theia_7543,UBC_98 ,UPK_12"
294,Theia_5320,126.595901,-33.743229,253.295375,2.557,1295.8,10.5628,115,9.47,0.41869,0.5507,7.623,0.356,-4.8326,4.3448,0.7325,0.618282,1.229414,"CWNU_223,Theia_5320"
295,UPK_66,305.282705,13.343439,55.544741,-13.01,645.8,9.0504,105,4.717,0.41848,0.5502,8.372,0.154,0.4281,-10.0527,1.4725,0.864691,0.864691,"Theia_336,UPK_66"
296,NGC_3532,166.393539,-58.693786,289.538159,1.398,452.8,8.2797,3414,3.307,0.41836,0.5498,8.376,0.12,-10.4024,5.2286,2.0875,0.374477,1.548831,"BH_109,Collinder_238,ESO_128-31,MWSC_1890,Melotte_103,NGC_3532,OCL_839,Theia_720"
297,Alessi_40,279.270709,-19.168229,14.226874,-5.572,541.6,8.6686,290,3.948,0.41757,0.5478,8.089,1.222,-2.4179,-6.4192,1.7372,0.361382,1.591020,"ASCC_97,Alessi_40,MWSC_2963,Theia_462"
298,UPK_39,277.477719,1.07627,31.433251,5.28,421.6,8.1244,190,3.071,0.41741,0.5474,6.614,2.315,3.2706,-8.6675,2.2505,0.443835,1.391015,UPK_39
299,Renou_23,84.526135,57.108419,154.92384,13.35,457.4,8.3017,335,3.321,0.41592,0.5435,8.296,1.077,-3.2554,-3.9894,2.0699,0.295652,1.906582,"LISC-III_3517,Renou_23,Theia_938,UBC_8"
300,UPK_53,288.529444,14.269089,48.187111,1.557,559.7,8.7396,209,4.049,0.41451,0.5398,8.274,1.31,2.4647,1.0322,1.6776,0.405979,1.428876,"Theia_952,UPK_53"
301,Theia_123,43.368949,68.840176,133.611217,8.538,418.3,8.1073,204,2.99,0.40951,0.5268,8.097,1.205,1.4626,-7.9106,2.2831,0.361408,1.552575,"OCSN_46,Theia_123"
302,Collinder_394,283.058224,-20.271908,14.816889,-9.258,676.2,9.1503,977,4.811,0.40766,0.5221,7.924,0.621,-1.4534,-5.8742,1.3356,0.474617,1.263283,"Collinder_394,ESO_592-3,MWSC_3011,OCL_42,Theia_407"
303,UPK_17,279.71573,-15.041793,18.112594,-4.083,644.1,9.0448,144,4.57,0.40653,0.5192,8.4,1.682,0.9602,-7.891,1.4806,0.280754,1.941352,"Theia_1048,UPK_17"
304,Alessi-Teutsch_3,118.285514,-53.000783,266.424348,-12.81,667.1,9.1209,138,4.676,0.40166,0.5068,8.013,0.511,-5.3377,8.9453,1.4208,0.320701,1.667285,"ASCC_42,AT_3,Alessi-Teutsch_3,Alessi_30,Alessi_Teutsch_3,MWSC_1373"
305,OC_0343,97.631647,4.357298,206.664928,-2.649,632.3,9.0046,104,4.415,0.40003,0.5027,7.488,0.148,-1.7586,-4.7142,1.5237,0.302650,1.785639,"CWNU_1003,OC_0343,Theia_838"
306,Alessi_20,2.6435,58.756513,117.642685,-3.695,410.7,8.0679,252,2.864,0.39945,0.5013,6.826,0.647,8.1167,-2.4272,2.3431,0.282128,1.838440,"Alessi_20,Theia_34"
